rank,jogador,equipe,jo,min,ef,pts,rt,as,br,to,er
83,Mião #3,Cerrado Basquete,2,11.49,2.00,1.00,3.00,0.50,0.00,0.00,0.50
84,Derick #8,Pato Basquete,7,7.02,2.00,2.43,1.00,0.14,0.43,0.00,0.71
85,Danilo #3,São Paulo,18,9.78,2.00,2.11,1.17,0.44,0.39,0.11,0.67
86,W. Cesar #88,Oral Sin/Campo Mourão,19,7.29,1.89,1.68,1.89,0.26,0.16,0.05,0.37
87,Sidão #31,São Paulo,6,9.13,1.50,1.83,2.00,0.50,0.33,0.00,1.50
88,Vinícius #14,Pato Basquete,3,3.61,1.33,0.67,1.33,0.00,0.67,0.00,0.67
89,Léo #19,Rio Claro,12,6.77,1.08,0.92,1.00,0.50,0.33,0.00,0.67
90,Kuster #13,Cerrado Basquete,2,6.75,1.00,0.50,1.00,0.00,1.00,0.00,1.00
91,Igor #20,São Paulo,3,2.58,1.00,1.33,0.00,0.00,0.67,0.00,0.67
92,Caio #12,Pato Basquete,8,3.70,1.00,0.88,0.88,0.00,0.00,0.00,0.13
93,Adolfo #6,Basquete Blumenau,5,10.23,0.80,1.60,0.80,0.80,0.60,0.00,0.80
94,Omar #34,Oral Sin/Campo Mourão,3,1.61,0.67,1.00,0.00,0.00,0.00,0.00,0.00
95,Lucão #24,Pato Basquete,2,2.48,0.50,1.00,1.00,0.00,0.00,0.00,0.50
96,Iago #51,Cerrado Basquete,8,6.44,0.50,1.13,1.50,0.13,0.13,0.00,0.63
97,Henrique #7,Basquete Blumenau,3,0.82,0.33,0.33,0.33,0.00,0.00,0.00,0.00
98,Rapha #6,Oral Sin/Campo Mourão,3,1.40,0.33,0.00,0.33,0.33,0.00,0.00,0.00
99,Christian #9,Londrina,6,11.23,0.33,2.50,1.33,0.17,0.50,0.00,1.00
100,Wander Broock #26,Oral Sin/Campo Mourão,1,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00
101,Felippe #10,Cerrado Basquete,1,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
102,Denys #14,Cerrado Basquete,2,2.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00
103,Jean #45,Londrina,2,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
104,Valquécio #16,UNIFACISA,2,1.05,0.00,0.50,0.50,0.00,0.00,0.00,0.00
105,G. Dominguez #14,Londrina,3,0.83,0.00,0.33,0.00,0.00,0.00,0.00,0.00
106,Prochnow #0,Rio Claro,4,0.77,-0.25,0.50,0.50,0.00,0.00,0.00,0.75
107,Camargo #25,Londrina,10,3.25,-0.30,0.70,0.20,0.10,0.10,0.00,0.60
108,Bernardo #11,Pato Basquete,9,7.27,-0.44,1.44,0.44,0.33,0.11,0.00,1.00
109,Franco #99,UNIFACISA,2,1.05,-0.50,0.50,0.00,0.00,0.00,0.00,0.00
110,Primarano #21,Basquete Blumenau,2,1.93,-1.00,0.00,0.50,0.00,0.00,0.00,0.00
