fase,rodada,mandante,WId,LId,Wpts,Lpts,Wa3c,La3c,Wa2c,La2c,Wllc,Lllc,Wrt,Lrt,Wass,Lass,Wto,Lto,Wen,Len,Wbr,Lbr,Wfc,Lfc,Wef,Lef
1,2,5,5,8,81,70,14,4,10,22,19,14,44,41,16,18,1,2,0,2,88,9,23,23,83,78
1,2,3,5,3,87,74,9,5,23,20,14,19,35,43,10,7,0,2,0,0,7,6,19,17,89,70
1,2,2,2,5,81,69,5,9,29,16,8,10,45,35,17,9,8,1,4,1,7,8,14,15,101,62
1,2,5,6,5,93,76,10,9,22,20,19,9,43,34,18,11,3,2,2,1,6,3,17,17,113,72
1,2,5,7,5,85,76,14,8,16,18,11,16,48,44,17,18,5,2,0,0,4,11,16,22,99,89
1,2,5,1,5,91,88,12,8,23,23,9,18,51,42,17,15,3,2,1,0,12,7,24,13,108,87
1,2,4,4,5,103,84,9,9,31,17,14,23,44,33,16,10,1,2,1,0,12,4,25,17,121,77
