fase,rodada,mandante,WId,LId,Wpts,Lpts,Wa3c,La3c,Wa2c,La2c,Wllc,Lllc,Wrt,Lrt,Wass,Lass,Wto,Lto,Wen,Len,Wbr,Lbr,Wfc,Lfc,Wef,Lef
1,1,5,5,3,68,61,8,6,12,15,20,13,46,35,12,12,2,2,0,0,10,15,24,30,63,51
1,1,5,2,5,72,71,6,10,21,15,12,11,41,35,13,13,2,1,2,0,6,10,17,17,73,70
1,1,8,5,8,84,74,8,7,18,22,24,9,39,43,7,18,0,4,0,4,9,4,12,25,89,73
1,1,6,5,6,81,80,6,8,25,21,13,14,35,42,6,11,1,3,0,0,7,6,22,23,79,78
1,1,5,5,4,82,75,14,4,13,26,14,11,36,49,16,16,2,2,1,2,4,7,17,19,82,87
1,1,1,1,5,86,67,9,4,27,16,5,23,45,38,20,5,4,0,0,0,9,9,26,15,103,43
1,1,7,7,5,90,86,7,9,23,23,23,13,36,40,15,10,4,0,0,0,6,4,22,22,109,75
